state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-08-20,"500,165","498,034","502,296",68.83,68.38,69.29,"708,074","705,402","710,746"
CW,2020-08-21,"496,484","493,624","499,343",68.25,67.26,69.24,"708,769","705,191","712,347"
CW,2020-08-22,"479,875","477,441","482,308",66.24,65.48,67.00,"706,157","703,059","709,255"
CW,2020-08-23,"466,820","464,303","469,337",64.62,63.80,65.44,"704,251","701,096","707,406"
CW,2020-08-24,"471,861","469,737","473,984",64.80,64.11,65.48,"710,090","707,303","712,877"
CW,2020-08-25,"493,805","491,931","495,679",67.59,67.00,68.19,"712,686","710,162","715,211"
CW,2020-08-26,"504,861","502,865","506,858",68.54,67.74,69.35,"718,373","715,772","720,974"
CW,2020-08-27,"506,393","504,416","508,371",68.58,67.73,69.42,"720,871","718,241","723,500"
CW,2020-08-28,"497,461","495,626","499,297",67.69,66.91,68.46,"717,946","715,556","720,335"
CW,2020-08-29,"478,657","476,609","480,706",65.45,64.66,66.25,"714,275","711,631","716,919"
CW,2020-08-30,"464,634","462,410","466,858",63.71,62.75,64.66,"712,134","708,891","715,377"
CW,2020-08-31,"467,465","465,736","469,194",64.10,63.49,64.72,"712,153","709,945","714,361"
CW,2020-09-01,"480,245","478,523","481,967",65.45,64.85,66.06,"716,187","714,009","718,365"
CW,2020-09-02,"489,841","488,461","491,222",66.44,66.07,66.80,"719,639","718,006","721,273"
CW,2020-09-03,"488,485","487,119","489,850",66.56,66.20,66.91,"716,542","714,933","718,151"
CW,2020-09-04,"484,074","482,632","485,516",66.02,65.61,66.42,"715,504","713,828","717,179"
CW,2020-09-05,"466,103","464,536","467,669",63.74,63.23,64.24,"713,668","711,744","715,593"
CW,2020-09-06,"455,901","453,992","457,810",62.78,62.06,63.50,"709,041","706,642","711,441"
CW,2020-09-07,"452,204","450,582","453,825",62.20,61.66,62.74,"710,021","708,056","711,986"
CW,2020-09-08,"462,308","460,930","463,687",63.46,63.07,63.84,"711,219","709,546","712,892"
CW,2020-09-09,"491,144","489,764","492,524",67.00,66.59,67.41,"715,598","713,847","717,350"
CW,2020-09-10,"501,115","499,788","502,443",68.30,67.93,68.67,"716,602","714,967","718,237"
CW,2020-09-11,"502,147","500,758","503,537",68.29,67.82,68.75,"717,857","716,163","719,551"
CW,2020-09-12,"484,263","482,735","485,791",66.10,65.55,66.65,"715,063","713,139","716,987"
CW,2020-09-13,"468,980","467,004","470,955",64.57,63.84,65.31,"708,924","706,811","711,036"
CW,2020-09-14,"473,222","471,813","474,631",64.87,64.38,65.35,"712,458","710,643","714,272"
CW,2020-09-15,"495,264","493,817","496,712",68.01,67.54,68.48,"711,236","709,561","712,911"
CW,2020-09-16,"501,982","500,623","503,341",68.90,68.43,69.37,"711,667","709,867","713,466"
CW,2020-09-17,"503,558","502,167","504,949",68.95,68.51,69.38,"712,488","710,777","714,199"
CW,2020-09-18,"499,541","498,126","500,956",68.37,67.93,68.81,"712,242","710,529","713,954"
CW,2020-09-19,"481,995","479,670","484,319",66.20,65.24,67.17,"709,130","706,062","712,198"
CW,2020-09-20,"468,317","465,242","471,392",64.12,62.78,65.46,"711,253","707,157","715,349"
DC,2020-08-20,"2,278","2,278","2,278",82.87,82.87,82.87,"2,749","2,749","2,749"
