STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE2,SOURCE3,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72505394728,2019-06-20T00:02:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.77,66,67,,BR:1 ||,,,97,,OVC:08 3,29.6,2,66,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09006/20/19 00:02:02 SPECI KNYC 200502Z 00000KT 2SM BR OVC003 19/19 A2977 RMK AO2 T01940189 $,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T00:51:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.74,65,66,0,BR:1 ||,0.03,8,96,29.72,OVC:08 3,29.57,2.5,65,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12506/20/19 00:51:02 METAR KNYC 200551Z VRB03KT 2 1/2SM BR OVC003 19/18 A2974 RMK AO2 SLP063 60000 T01890183 10200 20189 58010 $,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T01:28:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.73,64,66,,BR:1 ||,,,93,,OVC:08 2,29.56,1.75,65,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09406/20/19 01:28:02 SPECI KNYC 200628Z 00000KT 1 3/4SM BR OVC002 19/18 A2973 RMK AO2 T01890178 $,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T01:51:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72,64,66,T,-RA:02 BR:1 |RA |RA,,,93,29.7,OVC:08 2,29.55,1.75,65,60,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11706/20/19 01:51:02 METAR KNYC 200651Z 06003KT 1 3/4SM -RA BR OVC002 19/18 A2972 RMK AO2 RAB48 SLP056 P0000 T01890178 $,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T02:21:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.73,64,65,0.01,BR:1 ||,,,97,,OVC:08 2,29.56,2,64,60,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10206/20/19 02:21:02 SPECI KNYC 200721Z 06004KT 2SM BR OVC002 18/18 A2973 RMK AO2 RAE20 P0001 T01830178 $,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T02:28:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72,64,65,0.01,BR:1 ||,,,97,,OVC:08 2,29.55,1.75,64,60,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10606/20/19 02:28:02 SPECI KNYC 200728Z 06004KT 1 3/4SM BR OVC002 18/18 A2972 RMK AO2 RAE20 P0001 T01830178 $,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T03:51:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,64,65,T,BR:1 ||,0.05,6,97,29.67,OVC:08 2,29.53,1.5,64,60,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12506/20/19 03:51:02 METAR KNYC 200851Z 06004KT 1 1/2SM BR OVC002 18/18 A2970 RMK AO2 RAE00 SLP047 P0000 60001 T01830178 56016 $,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T04:24:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71,64,65,,BR:1 ||,,,97,,VV:09 2,29.54,0.75,64,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09106/20/19 04:24:02 SPECI KNYC 200924Z VRB03KT 3/4SM BR VV002 18/18 A2971 RMK AO2 T01830178 $,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T04:51:00,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71,64,65,T,-RA:02 BR:1 |RA |RA,,,97,29.68,VV:09 2,29.54,0.75,64,70,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11406/20/19 04:51:02 METAR KNYC 200951Z 07004KT 3/4SM -RA BR VV002 18/18 A2971 RMK AO2 RAB44 SLP050 P0000 T01830178 $,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72505394728,2019-06-20T04:58:00,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.71,64,65,T,-RA:02 BR:1 |RA |RA,,,97,,VV:09 2,29.54,1,64,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10306/20/19 04:58:02 SPECI KNYC 200958Z 00000KT 1SM -RA BR VV002 18/18 A2971 RMK AO2 P0000 T01830178 $ RTX,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
